round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
Elite 8,10,S Dakota St,0,25,0.0,0.005208333333333333,-0.005208333333333333,-1.0
Elite 8,16,Southern,0,25,0.0,0.005208333333333333,-0.005208333333333333,-1.0
Elite 8,12,South Florida,2,79,0.01,0.016458333333333332,-0.0064583333333333316,-0.39240506329113917
Elite 8,9,Georgia Tech,0,35,0.0,0.007291666666666667,-0.007291666666666667,-1.0
Elite 8,10,Harvard,1,60,0.005,0.0125,-0.007500000000000001,-0.6
Elite 8,13,Montana St,1,63,0.005,0.013125,-0.008125,-0.6190476190476191
Elite 8,16,Tennessee Tech,0,40,0.0,0.008333333333333333,-0.008333333333333333,-1.0
Elite 8,14,Oregon St,0,41,0.0,0.008541666666666666,-0.008541666666666666,-1.0
Elite 8,10,Oregon,0,45,0.0,0.009375,-0.009375,-1.0
Elite 8,15,Lehigh,0,45,0.0,0.009375,-0.009375,-1.0
Elite 8,12,Fairfield,2,94,0.01,0.019583333333333335,-0.009583333333333334,-0.4893617021276596
Elite 8,9,Mississippi St,0,47,0.0,0.009791666666666667,-0.009791666666666667,-1.0
Elite 8,14,San Diego St,0,49,0.0,0.010208333333333333,-0.010208333333333333,-1.0
Elite 8,11,Murray St,0,63,0.0,0.013125,-0.013125,-1.0
Elite 8,8,Illinois,0,67,0.0,0.013958333333333333,-0.013958333333333333,-1.0
Elite 8,12,Ball State,0,67,0.0,0.013958333333333333,-0.013958333333333333,-1.0
Elite 8,8,Utah,1,94,0.005,0.019583333333333335,-0.014583333333333334,-0.7446808510638298
Elite 8,11,Iowa State,1,95,0.005,0.019791666666666666,-0.014791666666666665,-0.7473684210526316
Elite 8,11,George Mason,0,75,0.0,0.015625,-0.015625,-1.0
Elite 8,13,Norfolk St,0,77,0.0,0.016041666666666666,-0.016041666666666666,-1.0
Elite 8,4,Kentucky,4,173,0.02,0.036041666666666666,-0.016041666666666666,-0.44508670520231214
Elite 8,5,Ole Miss,2,125,0.01,0.026041666666666668,-0.01604166666666667,-0.6160000000000001
Elite 8,13,Liberty,0,78,0.0,0.01625,-0.01625,-1.0
Elite 8,4,Maryland,6,222,0.03,0.04625,-0.01625,-0.35135135135135137
Elite 8,6,Florida St,1,103,0.005,0.021458333333333333,-0.016458333333333332,-0.7669902912621359
Elite 8,10,Nebraska,0,80,0.0,0.016666666666666666,-0.016666666666666666,-1.0
Elite 8,9,Indiana,0,82,0.0,0.017083333333333332,-0.017083333333333332,-1.0
Elite 8,2,Duke,37,970,0.185,0.20208333333333334,-0.01708333333333334,-0.08453608247422684
Elite 8,14,FGCU,0,84,0.0,0.0175,-0.0175,-1.0
Elite 8,7,Louisville,2,133,0.01,0.027708333333333335,-0.017708333333333333,-0.6390977443609022
Elite 8,13,Grand Canyon,0,86,0.0,0.017916666666666668,-0.017916666666666668,-1.0
Elite 8,5,Alabama,1,114,0.005,0.02375,-0.01875,-0.7894736842105263
Elite 8,5,Kansas St,2,138,0.01,0.02875,-0.018750000000000003,-0.6521739130434784
Elite 8,8,California,2,140,0.01,0.029166666666666667,-0.019166666666666665,-0.657142857142857
Elite 8,5,Tennessee,0,97,0.0,0.02020833333333333,-0.02020833333333333,-1.0
Elite 8,8,Richmond,1,122,0.005,0.025416666666666667,-0.020416666666666666,-0.8032786885245902
Elite 8,11,Columbia,0,102,0.0,0.02125,-0.02125,-1.0
Elite 8,6,Michigan,1,133,0.005,0.027708333333333335,-0.022708333333333334,-0.8195488721804511
Elite 8,7,Vanderbilt,0,110,0.0,0.022916666666666665,-0.022916666666666665,-1.0
Elite 8,2,TCU,37,1005,0.185,0.209375,-0.024375000000000008,-0.11641791044776123
Elite 8,7,Michigan St,0,120,0.0,0.025,-0.025,-1.0
Elite 8,6,West Virginia,5,240,0.025,0.05,-0.025,-0.5
Elite 8,12,Green Bay,0,121,0.0,0.025208333333333333,-0.025208333333333333,-1.0
Elite 8,2,UConn,43,1154,0.215,0.24041666666666667,-0.02541666666666667,-0.10571923743500868
Elite 8,3,Oklahoma,9,341,0.045,0.07104166666666667,-0.02604166666666667,-0.3665689149560118
Elite 8,4,Ohio State,6,276,0.03,0.0575,-0.027500000000000004,-0.4782608695652174
Elite 8,6,Iowa,0,155,0.0,0.03229166666666667,-0.03229166666666667,-1.0
Elite 8,9,Creighton,3,241,0.015,0.050208333333333334,-0.035208333333333335,-0.7012448132780084
Elite 8,7,Oklahoma St,7,346,0.035,0.07208333333333333,-0.03708333333333333,-0.514450867052023
Elite 8,3,Notre Dame,17,592,0.085,0.12333333333333334,-0.03833333333333333,-0.3108108108108108
Elite 8,4,Baylor,5,312,0.025,0.065,-0.04,-0.6153846153846154
Elite 8,3,North Carolina,6,340,0.03,0.07083333333333333,-0.04083333333333333,-0.5764705882352941
Elite 8,3,LSU,4,295,0.02,0.06145833333333333,-0.04145833333333333,-0.6745762711864407
Final Four,16,William & Mary,0,1,0.0,0.00020833333333333335,-0.00020833333333333335,-1.0
Final Four,15,Fair Dickinson,0,4,0.0,0.0008333333333333334,-0.0008333333333333334,-1.0
Final Four,15,Vermont,0,5,0.0,0.0010416666666666667,-0.0010416666666666667,-1.0
Final Four,16,UNC Greensboro,0,5,0.0,0.0010416666666666667,-0.0010416666666666667,-1.0
Final Four,16,Southern,0,11,0.0,0.0022916666666666667,-0.0022916666666666667,-1.0
Final Four,15,Arkansas St,0,11,0.0,0.0022916666666666667,-0.0022916666666666667,-1.0
Final Four,10,S Dakota St,0,11,0.0,0.0022916666666666667,-0.0022916666666666667,-1.0
Final Four,14,Oregon St,0,16,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
Final Four,9,Georgia Tech,0,16,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
Final Four,10,Oregon,0,16,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
Final Four,14,San Diego St,0,16,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
Final Four,12,South Florida,0,18,0.0,0.00375,-0.00375,-1.0
Final Four,16,Tennessee Tech,0,18,0.0,0.00375,-0.00375,-1.0
Final Four,9,Mississippi St,0,18,0.0,0.00375,-0.00375,-1.0
Final Four,15,Lehigh,0,19,0.0,0.003958333333333334,-0.003958333333333334,-1.0
Final Four,5,Alabama,1,43,0.005,0.008958333333333334,-0.003958333333333334,-0.4418604651162791
Final Four,11,Murray St,0,23,0.0,0.004791666666666666,-0.004791666666666666,-1.0
Final Four,5,Tennessee,0,23,0.0,0.004791666666666666,-0.004791666666666666,-1.0
Final Four,8,California,1,47,0.005,0.009791666666666667,-0.004791666666666667,-0.4893617021276596
Final Four,10,Nebraska,0,24,0.0,0.005,-0.005,-1.0
Final Four,10,Harvard,0,25,0.0,0.005208333333333333,-0.005208333333333333,-1.0
Final Four,8,Illinois,0,25,0.0,0.005208333333333333,-0.005208333333333333,-1.0
Final Four,11,George Mason,0,25,0.0,0.005208333333333333,-0.005208333333333333,-1.0
Final Four,12,Ball State,0,25,0.0,0.005208333333333333,-0.005208333333333333,-1.0
Final Four,13,Montana St,0,26,0.0,0.005416666666666667,-0.005416666666666667,-1.0
Final Four,9,Indiana,0,28,0.0,0.005833333333333334,-0.005833333333333334,-1.0
Final Four,5,Ole Miss,1,52,0.005,0.010833333333333334,-0.005833333333333334,-0.5384615384615384
Final Four,13,Liberty,0,29,0.0,0.0060416666666666665,-0.0060416666666666665,-1.0
Final Four,11,Iowa State,0,30,0.0,0.00625,-0.00625,-1.0
Final Four,8,Utah,0,31,0.0,0.006458333333333333,-0.006458333333333333,-1.0
Final Four,14,FGCU,0,31,0.0,0.006458333333333333,-0.006458333333333333,-1.0
Final Four,13,Norfolk St,0,32,0.0,0.006666666666666667,-0.006666666666666667,-1.0
Final Four,7,Vanderbilt,0,34,0.0,0.007083333333333333,-0.007083333333333333,-1.0
Final Four,13,Grand Canyon,0,34,0.0,0.007083333333333333,-0.007083333333333333,-1.0
Final Four,12,Fairfield,0,35,0.0,0.007291666666666667,-0.007291666666666667,-1.0
Final Four,8,Richmond,0,40,0.0,0.008333333333333333,-0.008333333333333333,-1.0
Final Four,11,Columbia,0,40,0.0,0.008333333333333333,-0.008333333333333333,-1.0
Final Four,6,Michigan,0,41,0.0,0.008541666666666666,-0.008541666666666666,-1.0
Final Four,4,Maryland,2,91,0.01,0.018958333333333334,-0.008958333333333334,-0.4725274725274725
Final Four,6,Florida St,0,44,0.0,0.009166666666666667,-0.009166666666666667,-1.0
Final Four,7,Michigan St,0,45,0.0,0.009375,-0.009375,-1.0
Final Four,5,Kansas St,0,45,0.0,0.009375,-0.009375,-1.0
Final Four,12,Green Bay,0,47,0.0,0.009791666666666667,-0.009791666666666667,-1.0
Final Four,6,Iowa,0,47,0.0,0.009791666666666667,-0.009791666666666667,-1.0
Final Four,7,Louisville,0,50,0.0,0.010416666666666666,-0.010416666666666666,-1.0
Final Four,4,Kentucky,0,60,0.0,0.0125,-0.0125,-1.0
Final Four,9,Creighton,1,85,0.005,0.017708333333333333,-0.012708333333333332,-0.7176470588235293
Final Four,6,West Virginia,1,91,0.005,0.018958333333333334,-0.013958333333333333,-0.7362637362637362
Final Four,7,Oklahoma St,3,157,0.015,0.03270833333333333,-0.017708333333333333,-0.5414012738853503
Final Four,4,Baylor,2,138,0.01,0.02875,-0.018750000000000003,-0.6521739130434784
Final Four,4,Ohio State,0,94,0.0,0.019583333333333335,-0.019583333333333335,-1.0
Final Four,3,LSU,1,128,0.005,0.02666666666666667,-0.021666666666666667,-0.8125
Final Four,2,UConn,20,584,0.1,0.12166666666666667,-0.021666666666666667,-0.1780821917808219
Final Four,3,North Carolina,0,125,0.0,0.026041666666666668,-0.026041666666666668,-1.0
Final Four,3,Oklahoma,0,146,0.0,0.030416666666666668,-0.030416666666666668,-1.0
Final Four,2,TCU,10,400,0.05,0.08333333333333333,-0.033333333333333326,-0.3999999999999999
Final Four,2,NC State,32,937,0.16,0.19520833333333334,-0.03520833333333334,-0.1803628601921025
Final Four,2,Duke,10,427,0.05,0.08895833333333333,-0.03895833333333333,-0.4379391100702576
Final Four,3,Notre Dame,0,242,0.0,0.050416666666666665,-0.050416666666666665,-1.0
Championship,8,California,1,11,0.005,0.0022916666666666667,0.0027083333333333334,1.1818181818181819
Championship,16,UNC Greensboro,0,2,0.0,0.0004166666666666667,-0.0004166666666666667,-1.0
Championship,9,Mississippi St,0,2,0.0,0.0004166666666666667,-0.0004166666666666667,-1.0
Championship,11,Murray St,0,3,0.0,0.000625,-0.000625,-1.0
Championship,16,Southern,0,4,0.0,0.0008333333333333334,-0.0008333333333333334,-1.0
Championship,15,Vermont,0,4,0.0,0.0008333333333333334,-0.0008333333333333334,-1.0
Championship,10,S Dakota St,0,4,0.0,0.0008333333333333334,-0.0008333333333333334,-1.0
Championship,15,Arkansas St,0,4,0.0,0.0008333333333333334,-0.0008333333333333334,-1.0
Championship,10,Oregon,0,5,0.0,0.0010416666666666667,-0.0010416666666666667,-1.0
Championship,15,Lehigh,0,6,0.0,0.00125,-0.00125,-1.0
Championship,12,South Florida,0,6,0.0,0.00125,-0.00125,-1.0
Championship,14,Oregon St,0,6,0.0,0.00125,-0.00125,-1.0
Championship,12,Ball State,0,7,0.0,0.0014583333333333334,-0.0014583333333333334,-1.0
